,candidato,partito,probabilità di elezione,camera,probabilità di elezione %
0,Silvia Roggiani,PD,1.0,Camera,100.0
1,Anna Ascani,PD,1.0,Camera,100.0
2,Sandra Zampa,PD,1.0,Senato,100.0
3,Francesco Boccia,PD,1.0,Senato,100.0
4,Cecilia D'Elia,PD,1.0,Senato,100.0
5,Carlo Cottarelli,PD,1.0,Senato,100.0
6,Beatrice Lorenzin,PD,1.0,Senato,100.0
7,Debora Serracchiani,PD,1.0,Camera,100.0
8,Dario Parrini,PD,1.0,Senato,100.0
9,Enrico Borghi,PD,1.0,Senato,100.0
10,Tatiana Rojc,PD,1.0,Senato,100.0
11,Gian Antonio Girelli,PD,1.0,Camera,100.0
12,Dario Franceschini,PD,1.0,Senato,100.0
13,Piero De Luca,PD,1.0,Camera,100.0
14,Claudio Stefanazzi,PD,1.0,Camera,100.0
15,Nicola Zingaretti,PD,1.0,Camera,100.0
16,Lorenzo Guerini,PD,1.0,Camera,100.0
17,Andrea Gnassi,PD,1.0,Camera,100.0
18,Anthony Barbagallo,PD,1.0,Camera,100.0
19,Irene Manzi,PD,1.0,Camera,100.0
20,Matteo Orfini,PD,1.0,Camera,100.0
21,Elly Schlein,PD,1.0,Camera,100.0
22,Luciano D'Alfonso,PD,1.0,Camera,100.0
23,Laura Boldrini,PD,0.98,Camera,98.0
24,Castellone Mariolina,M5S,0.98,Senato,98.0
25,Vito Di Filippo,PD,0.98,Senato,98.0
26,Scarpinato Roberto,M5S,0.98,Senato,98.0
27,Patuanelli Stefano,M5S,0.98,Senato,98.0
28,Turco Mario,M5S,0.98,Senato,98.0
29,Sironi Elena,M5S,0.98,Senato,98.0
30,Nicola Irto,PD,0.98,Senato,98.0
31,Raffaele Piemontese,PD,0.98,Camera,98.0
32,Silvio Lai,PD,0.98,Camera,98.0
33,Alessandro Zan,PD,0.98,Camera,98.0
34,Antonio Nicita,PD,0.98,Senato,98.0
35,Walter Verini,PD,0.98,Senato,98.0
36,Simona Malpezzi,PD,0.98,Senato,98.0
37,Chiara Braga,PD,0.98,Camera,98.0
38,Alberto Losacco,PD,0.98,Senato,98.0
39,Lorenzo Basso,PD,0.98,Senato,98.0
40,Todde Alessandra,M5S,0.98,Camera,98.0
41,Donno Leonardo,M5S,0.98,Camera,98.0
42,Marco Sarracino,PD,0.98,Camera,98.0
43,Nicola Stumpo,PD,0.98,Camera,98.0
44,Chiara Gribaudo,PD,0.98,Camera,98.0
45,Santillo Agostino,M5S,0.98,Camera,98.0
46,Rachele Scarpa,PD,0.98,Camera,98.0
47,Giuseppe Provenzano,PD,0.98,Camera,98.0
48,Ricciardi Riccardo,M5S,0.98,Camera,98.0
49,Cafiero de Raho Federico,M5S,0.98,Camera,98.0
50,Raffaele La Regina,PD,0.98,Camera,98.0
51,Dell'Olio Gianmauro,M5S,0.98,Camera,98.0
52,Enrico Letta,PD,0.98,Camera,98.0
53,Marco Furfaro,PD,0.98,Camera,98.0
54,Mauro Laus,PD,0.98,Camera,98.0
55,Costa Sergio,M5S,0.98,Camera,98.0
56,Conte Giuseppe,M5S,0.98,Camera,98.0
57,D'Orso Valentina,M5S,0.98,Camera,98.0
58,Sportiello Gilda,M5S,0.98,Camera,98.0
59,Simona Bonafè,PD,0.97,Camera,97.0
60,Silvestri Francesco,M5S,0.96,Camera,96.0
61,Valentina Scialfa,PD,0.95,Camera,95.0
62,Matteo Renzi,AZIONE-IV,0.95,Senato,95.0
63,Michele Fina,PD,0.95,Senato,95.0
64,Susanna Camusso,PD,0.95,Senato,95.0
65,Bruno Astorre,PD,0.95,Senato,95.0
66,Bilotti Anna,M5S,0.95,Senato,95.0
67,Valeria Valente,PD,0.95,Senato,95.0
68,Barbara Masini,AZIONE-IV,0.95,Senato,95.0
69,Marco Meloni,PD,0.95,Senato,95.0
70,Damante Concetta,M5S,0.95,Senato,95.0
71,Croatti Marco,M5S,0.95,Senato,95.0
72,Vinicio Peluffo,PD,0.95,Camera,95.0
73,Floridia Barbara,M5S,0.95,Senato,95.0
74,Alessandro Alfieri,PD,0.95,Senato,95.0
75,Michela Di Biase,PD,0.95,Camera,95.0
76,Ouidad Bakkali,PD,0.95,Camera,95.0
77,Matteo Richetti,AZIONE-IV,0.95,Camera,95.0
78,Maria Elena Boschi,AZIONE-IV,0.95,Camera,95.0
79,Andrea Martella,PD,0.95,Senato,95.0
80,Roberto Speranza,PD,0.95,Camera,95.0
81,Ylenia Zambito,PD,0.95,Senato,95.0
82,Anna Rossomando,PD,0.95,Senato,95.0
83,Lia Quartapelle,PD,0.95,Camera,95.0
84,Licheri Ettore,M5S,0.95,Senato,95.0
85,Federico Gianassi,PD,0.95,Camera,95.0
86,Enrico Costa,AZIONE-IV,0.95,Camera,95.0
87,Fontana Ilaria,M5S,0.95,Camera,95.0
88,Francesco Bonifazi,AZIONE-IV,0.95,Camera,95.0
89,Mauro Berruto,PD,0.95,Camera,95.0
90,Manzo Teresa,M5S,0.95,Camera,95.0
91,Appendino Chiara,M5S,0.95,Camera,95.0
92,Fede Giorgio,M5S,0.95,Camera,95.0
93,Arturo Scotto,PD,0.95,Camera,95.0
94,Elena Bonetti,AZIONE-IV,0.95,Camera,95.0
95,Sara Ferrari,PD,0.95,Camera,95.0
96,Matteo Mauri,PD,0.95,Camera,95.0
97,Mauro Del Barba,AZIONE-IV,0.95,Camera,95.0
98,Virginio Merola,PD,0.95,Camera,95.0
99,Antonella Forattini,PD,0.95,Camera,95.0
100,Torto Daniela,M5S,0.95,Camera,95.0
101,Marco Lacarra,PD,0.95,Camera,95.0
102,Augusto Curti,PD,0.95,Camera,95.0
103,Cantone Luciano,M5S,0.95,Camera,95.0
104,Emiliano Fossi,PD,0.95,Camera,95.0
105,Stefano Vaccari,PD,0.95,Camera,95.0
106,Daniela Ruffino,AZIONE-IV,0.95,Camera,95.0
107,Baldino Vittoria,M5S,0.95,Camera,95.0
108,Andrea Orlando,PD,0.95,Camera,95.0
109,Scerra Filippo,M5S,0.88,Camera,88.0
110,Paola De Micheli,PD,0.88,Camera,88.0
111,Ascari Stefania,M5S,0.88,Camera,88.0
112,Cosimo Ferri,AZIONE-IV,0.85,Camera,85.0
113,Pier Ferdinando Casini,PD,0.85,Senato,85.0
114,L'Abbate Pasqua,M5S,0.85,Camera,85.0
115,Maria Stella Gelmini,AZIONE-IV,0.85,Senato,85.0
116,Marianna Madia,PD,0.85,Camera,85.0
117,Annamaria Furlan,PD,0.85,Senato,85.0
118,Anna Maria Parente,AZIONE-IV,0.85,Senato,85.0
119,Enzo Marajo,PD,0.85,Senato,85.0
120,Gianni Cuperlo,PD,0.85,Camera,85.0
121,Roberto Giachetti,AZIONE-IV,0.85,Camera,85.0
122,Caterina Bini,PD,0.85,Camera,85.0
123,Ilenia Malavasi,PD,0.85,Camera,85.0
124,Marco Simiani,PD,0.85,Camera,85.0
125,Colucci Alfonso,M5S,0.85,Camera,85.0
126,Carmina Ida,M5S,0.8200000000000001,Camera,82.0
127,Mario Polese,AZIONE-IV,0.82,Camera,82.0
128,Graziano Del Rio,PD,0.78,Senato,78.0
129,Federico Fornaro,PD,0.75,Camera,75.0
130,Cappelletti Enrico,M5S,0.75,Camera,75.0
131,Claudio Mancini,PD,0.75,Camera,75.0
132,Guidolin Barbara,M5S,0.75,Senato,75.0
133,Andrea Rossi,PD,0.65,Camera,65.0
134,Paolo Ciani,PD,0.65,Camera,65.0
135,Valentina Cuppi,PD,0.65,Camera,65.0
136,Stefano Lepri,PD,0.65,Camera,65.0
137,Silvio Franceschelli,PD,0.65,Senato,65.0
138,Manuela Rondini,PD,0.65,Senato,65.0
139,Loredana Raia,PD,0.65,Camera,65.0
140,Manes Cristina,M5S,0.65,Camera,65.0
141,Andrea De Maria,PD,0.65,Camera,65.0
142,Maria Cecilia Guerra,PD,0.65,Camera,65.0
143,Naturale Gisella,M5S,0.65,Senato,65.0
144,Piero Fassino,PD,0.65,Camera,65.0
145,Massimo Bulbi,PD,0.65,Camera,65.0
146,Roberta Songini,PD,0.65,Senato,65.0
147,Romina Mura,PD,0.65,Camera,65.0
148,Ubaldo Pagano,PD,0.65,Camera,65.0
149,Alfredo Bazoli,PD,0.65,Senato,65.0
150,Bellandi Manuela,M5S,0.65,Senato,65.0
151,Carlo Calenda,AZIONE-IV,0.65,Senato,65.0
152,Massimiliano Mozzarella,AZIONE-IV,0.65,Camera,65.0
153,Gubitosa Michele,M5S,0.65,Camera,65.0
154,Carabetta Luca,M5S,0.65,Camera,65.0
155,Rosetta D'Amelio,PD,0.65,Camera,65.0
156,Simona Iovane,PD,0.65,Camera,65.0
157,Currò Giovanni,M5S,0.65,Camera,65.0
158,Vincenza Bruno Bossio,PD,0.65,Camera,65.0
159,Roberto Rampi,PD,0.55,Camera,55.00000000000001
160,Daniele Manca,PD,0.55,Senato,55.00000000000001
161,Franco Mirabelli,PD,0.45,Senato,45.0
162,Stefano Graziano,PD,0.45,Camera,45.0
163,Pierluigi Spinelli,PD,0.45,Camera,45.0
164,Giacomo Leonelli,AZIONE-IV,0.4,Camera,40.0
165,Marton Bruno,M5S,0.35000000000000003,Senato,35.0
166,Barbara Lori,PD,0.35000000000000003,Senato,35.0
167,Luigi Spagnolli,PD,0.35000000000000003,Senato,35.0
168,Simona Buraschi,PD,0.35000000000000003,Camera,35.0
169,Loredana Capone,PD,0.35000000000000003,Senato,35.0
170,Gianni Dal Moro,PD,0.35000000000000003,Senato,35.0
171,Antonio Misiani,PD,0.35000000000000003,Senato,35.0
172,Giovanna Iacono,PD,0.35000000000000003,Camera,35.0
173,Alessia Rotta,PD,0.35000000000000003,Camera,35.0
174,Vincenzo Ceccarelli,PD,0.35000000000000003,Camera,35.0
175,Traversi Roberto,M5S,0.35000000000000003,Camera,35.0
176,Andrea Casu,PD,0.35000000000000003,Camera,35.0
177,Lomuti Arnaldo,M5S,0.35000000000000003,Camera,35.0
178,Andrea Romano,PD,0.35000000000000003,Camera,35.0
179,Miriam Cominelli,PD,0.35000000000000003,Camera,35.0
180,Alice Rossetti,AZIONE-IV,0.35000000000000003,Camera,35.0
181,Alan Ferrari,PD,0.35000000000000003,Camera,35.0
182,Davide Gariglio,PD,0.35000000000000003,Camera,35.0
183,Pierluigi Morelli,PD,0.33,Camera,33.0
184,Giuseppina Occhionero,AZIONE-IV,0.30000000000000004,Camera,30.000000000000004
185,Caterina Cerroni,PD,0.25,Camera,25.0
186,Baldan Flavio,M5S,0.22,Senato,22.0
187,Perenzoni Sonia,M5S,0.2,Camera,20.0
188,Cristiano Shaurli,PD,0.15,Camera,15.0
189,Paolo Romano,PD,0.15,Camera,15.0
190,Stefania Marino,PD,0.15,Camera,15.0
191,Barzotti Valentina,M5S,0.15,Camera,15.0
192,Luigi Marattin,AZIONE-IV,0.15,Camera,15.0
193,Caterina Biti,PD,0.15,Senato,15.0
194,Alessia Morani,PD,0.15,Camera,15.0
195,Enrico Rossi,PD,0.15,Camera,15.0
196,Valentina Grippo,AZIONE-IV,0.15,Camera,15.0
197,Marco Vincenzi,PD,0.15,Camera,15.0
198,Raffa Angela,M5S,0.15,Camera,15.0
199,Maria Chiara Gadda,AZIONE-IV,0.15,Camera,15.0
200,Agata Iacono,PD,0.15,Senato,15.0
201,Antonio Mastrovincenzo,PD,0.15,Camera,15.0
202,Elisa Mariano,PD,0.15,Camera,15.0
203,Giuliano Carla,M5S,0.15,Camera,15.0
204,Lorefice Pietro,M5S,0.15,Senato,15.0
205,Rita Rossa,PD,0.15,Senato,15.0
206,Licheri Sabrina,M5S,0.15,Senato,15.0
207,Alessandro Terrile,PD,0.15,Camera,15.0
208,Nave Luigi,M5S,0.13,Senato,13.0
209,Daniele Borioli,PD,0.13,Camera,13.0
210,Bruno Raffaele,M5S,0.12000000000000001,Camera,12.000000000000002
211,Maura Locantore,PD,0.12000000000000001,Camera,12.000000000000002
212,Raffaella Paita,AZIONE-IV,0.1,Senato,10.0
213,Gianluca Brizzi,PD,0.1,Camera,10.0
214,Federico Conte,PD,0.05,Senato,5.0
215,Luisa Garribba Rizzitelli,PD,0.05,Senato,5.0
216,Anna Sozza,PD,0.05,Senato,5.0
217,Vittorino Facciolla,PD,0.05,Senato,5.0
218,Roberto Louvin,PD,0.05,Senato,5.0
219,Lisa Noja,AZIONE-IV,0.05,Senato,5.0
220,Cristina Lodi,PD,0.05,Senato,5.0
221,Giusy Versace,AZIONE-IV,0.05,Senato,5.0
222,Cataldi Roberto,M5S,0.05,Senato,5.0
223,Alessandro Olivi,PD,0.05,Senato,5.0
224,Paolo Galeotti,PD,0.05,Camera,5.0
225,Francesco De Rebotti,PD,0.05,Camera,5.0
226,Paolo Patton,PD,0.05,Senato,5.0
227,Di Girolamo Gabriella,M5S,0.05,Senato,5.0
228,Maiorino Alessandra,M5S,0.05,Senato,5.0
229,Maurizio Petracca,PD,0.05,Camera,5.0
230,Francesco Lilliu,PD,0.05,Camera,5.0
231,Anna Maria Furlan,PD,0.05,Senato,5.0
232,Da definire,PD,0.05,Senato,5.0
233,Franco Manes,PD,0.05,Camera,5.0
234,Caramiello Alessandro,M5S,0.05,Camera,5.0
235,Anna Graziani,PD,0.05,Camera,5.0
236,Stefania Bonaldi,PD,0.05,Senato,5.0
237,Andrea Marcucci,PD,0.05,Senato,5.0
238,Cristina Tajani,PD,0.05,Senato,5.0
239,Valentina Ghio,PD,0.05,Camera,5.0
240,Leyla Ciagà,PD,0.05,Camera,5.0
241,Bartalini Chiara,M5S,0.05,Camera,5.0
242,Francesca Bonomo,PD,0.05,Camera,5.0
243,Aiello Davide,M5S,0.05,Camera,5.0
244,Giulia Pastorella,AZIONE-IV,0.05,Camera,5.0
245,Caterina Conti,PD,0.05,Camera,5.0
246,Mara Carfagna,AZIONE-IV,0.05,Camera,5.0
247,Mario Raffaeli,AZIONE-IV,0.05,Camera,5.0
248,Luca Rizzo Nervo,PD,0.05,Camera,5.0
249,Martina Nardi,PD,0.05,Camera,5.0
250,Tucci Riccardo,M5S,0.05,Camera,5.0
251,Carmen Bonino,PD,0.05,Camera,5.0
252,Maddalena Labollita,PD,0.05,Camera,5.0
253,Elena Carnevali,PD,0.05,Camera,5.0
254,Antonella Giordano,PD,0.05,Camera,5.0
255,Filippo Frittelli,PD,0.05,Camera,5.0
256,Enzo Foschi,PD,0.05,Camera,5.0
257,Montrasio Sara,M5S,0.05,Camera,5.0
258,Fenu Emiliano,M5S,0.05,Camera,5.0
259,Raffaele Topo,PD,0.05,Camera,5.0
260,Alifano Enrica,M5S,0.05,Camera,5.0
261,Michele Calza,PD,0.05,Camera,5.0
262,Stefania Martini,PD,0.05,Camera,5.0
263,Sorial Samuel,M5S,0.05,Camera,5.0
264,Roberto Morassut,PD,0.05,Camera,5.0
265,Roberta Casini,PD,0.05,Camera,5.0
266,Fabrizio Benzoni,AZIONE-IV,0.05,Camera,5.0
267,Patrizia Prestipino,PD,0.05,Camera,5.0
268,Carlo Guccione,PD,0.05,Camera,5.0
269,Pirondini Luca,M5S,0.02,Senato,2.0
270,Rossella Gianfagna,PD,0.02,Senato,2.0
271,Debora Pacchioni,PD,0.02,Camera,2.0
272,Giampiero Mancarelli,PD,0.02,Senato,2.0
273,Claudio Tombolini,PD,0.02,Camera,2.0
274,Gavino Manca,PD,0.02,Senato,2.0
275,Teresa Piccione,PD,0.02,Camera,2.0
276,Giuseppe Arena,PD,0.02,Camera,2.0
277,Francesca Bressanin,PD,0.02,Camera,2.0
278,Maria Del Zompo,PD,0.02,Senato,2.0
279,Marta Leonori,PD,0.02,Senato,2.0
280,Mirella Gattari,PD,0.02,Senato,2.0
281,Sut Luca,M5S,0.02,Camera,2.0
282,Laura Torsi,PD,0.02,Camera,2.0
283,Lina Giannino,PD,0.02,Camera,2.0
284,Teresa Bellanova,AZIONE-IV,0.02,Senato,2.0
285,Emanuele Corsico Piccolini,PD,0.02,Camera,2.0
286,Luca Pione,PD,0.02,Camera,2.0
287,Domenico Battaglia,PD,0.02,Camera,2.0
288,Palmisano Valentina,M5S,0.02,Camera,2.0
289,Linda Ferretti,PD,0.02,Camera,2.0
290,Carla Bassu,PD,0.02,Camera,2.0
291,Franca Fara,PD,0.02,Camera,2.0
292,Giuseppina Iemma,PD,0.02,Camera,2.0
293,Luca Zeni,PD,0.02,Camera,2.0
294,Antonello Cracolici,PD,0.02,Senato,2.0
295,De Santoli Livio,M5S,0.02,Camera,2.0
296,Vincenzo Amendola,PD,0.02,Senato,2.0
297,Laura Bartesaghi,PD,0.02,Camera,2.0
298,Erica D’Adda,PD,0.02,Camera,2.0
299,Ilaria Ramoni,PD,0.02,Camera,2.0
300,Glenda Raciti,PD,0.02,Camera,2.0
301,Andrea Giorgis,PD,0.02,Senato,2.0
302,Serena Francovich,PD,0.02,Camera,2.0
303,Francesca Dorato,PD,0.02,Senato,2.0
304,Giorgio Pagliari,PD,0.02,Camera,2.0
305,Maria Moccia,PD,0.02,Camera,2.0
306,Alessandra Salardi,PD,0.02,Senato,2.0
307,Sebastiano Leo,PD,0.02,Camera,2.0
308,Matteo Capriolo,PD,0.02,Camera,2.0
309,Daniela Sbrollini,AZIONE-IV,0.02,Senato,2.0
310,Sara Pettinelli,PD,0.02,Camera,2.0
311,Ettore Rosato,AZIONE-IV,0.02,Camera,2.0
312,Felice Calabrò,PD,0.02,Camera,2.0
313,Roberto Rossini,PD,0.02,Camera,2.0
314,Naike Gruppioni,AZIONE-IV,0.02,Camera,2.0
315,Franco Vazio,PD,0.02,Camera,2.0
316,Manuela Celotti,PD,0.02,Camera,2.0
317,Milù Allegra,PD,0.02,Camera,2.0
318,Benedetti Antonietta,M5S,0.02,Camera,2.0
319,Beatrice Ghetti,PD,0.02,Camera,2.0
320,Antonella Pepe,PD,0.02,Camera,2.0
321,Francesco Rovoli,PD,0.02,Camera,2.0
322,Zanichelli Davide,M5S,0.02,Camera,2.0
323,Andrea Turriziani,PD,0.02,Camera,2.0
324,Nadia Romeo,PD,0.02,Camera,2.0
325,Carolina Girasole,PD,0.02,Senato,2.0
326,Valentina Lucianetti,PD,0.02,Camera,2.0
327,Velleda Rivaroli,PD,0.02,Camera,2.0
328,Andrea Frailis,PD,0.02,Camera,2.0
329,Vincenzo Di Paolo,PD,0.02,Camera,2.0
330,Alessandra Clementini,PD,0.02,Camera,2.0
331,Alberta Chiesa,PD,0.02,Camera,2.0
332,Erasmo Palazzotto,PD,0.02,Camera,2.0
333,Angela Ianaro,PD,0.02,Camera,2.0
334,Eleonora Proni,PD,0.02,Senato,2.0
335,Castiello Francesco,M5S,0.02,Senato,2.0
336,Meri Marziali,PD,0.02,Camera,2.0
337,Michele Piras,PD,0.02,Camera,2.0
338,Andrea Ghignone,PD,0.02,Camera,2.0
339,Paolo Siani,PD,0.02,Camera,2.0
340,Fulvio Esposito,PD,0.02,Camera,2.0
341,Maria Teresa Menotto,PD,0.02,Camera,2.0
